工厂,产品名称,产品规格,月份,产量(盒),直接材料(元/盒),直接人工(元/盒),制造费用(元/盒),单位成本(元/盒),总成本(元)
中药一厂,银黄口服液,10ml×10支/盒,2025-07,48800,6.74,1.49,2.43,10.66,520208.0
中药一厂,银黄口服液,10ml×10支/盒,2025-08,50900,7.0,1.53,2.41,10.94,556846.0
中药一厂,银黄口服液,10ml×10支/盒,2025-09,56900,6.85,1.53,2.47,10.85,617365.0
中药一厂,银黄口服液,10ml×10支/盒,2025-10,52200,7.01,1.55,2.44,11.0,574200.0
中药一厂,银黄口服液,10ml×10支/盒,2025-11,55500,7.15,1.56,2.48,11.19,621045.0
中药一厂,银黄口服液,10ml×10支/盒,2025-12,60600,7.27,1.61,2.61,11.49,696294.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2025-07,87400,4.38,1.03,1.71,7.12,622288.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2025-08,90800,4.58,1.08,1.68,7.34,666472.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2025-09,100900,4.58,1.08,1.75,7.41,747669.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2025-10,94500,4.67,1.09,1.72,7.48,706860.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2025-11,99700,4.58,1.08,1.77,7.43,740771.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2025-12,102700,4.75,1.12,1.85,7.72,792844.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2025-07,34400,12.2,2.07,3.08,17.35,596840.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2025-08,35800,12.6,2.14,3.08,17.82,637956.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2025-09,39400,12.46,2.13,3.2,17.79,700926.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2025-10,37800,12.68,2.16,3.13,17.97,679266.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2025-11,39500,12.71,2.15,3.26,18.12,715740.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2025-12,41500,12.87,2.22,3.27,18.36,761940.0
