工厂,产品名称,产品规格,月份,产量(盒),直接材料(元/盒),直接人工(元/盒),制造费用(元/盒),单位成本(元/盒),总成本(元)
中药二厂,银黄口服液,10ml×10支/盒,2025-07,39100,7.25,1.74,2.66,11.65,455515.0
中药二厂,银黄口服液,10ml×10支/盒,2025-08,39900,7.31,1.72,2.67,11.7,466830.0
中药二厂,银黄口服液,10ml×10支/盒,2025-09,46600,7.31,1.76,2.72,11.79,549414.0
中药二厂,银黄口服液,10ml×10支/盒,2025-10,41900,7.32,1.75,2.76,11.83,495677.0
中药二厂,银黄口服液,10ml×10支/盒,2025-11,45300,7.43,1.79,2.73,11.95,541335.0
中药二厂,银黄口服液,10ml×10支/盒,2025-12,48900,7.67,1.84,2.92,12.43,607827.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-07,69300,4.69,1.16,1.83,7.68,532224.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-08,71300,4.9,1.21,1.87,7.98,568974.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-09,79600,4.9,1.22,1.87,7.99,636004.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-10,75400,4.9,1.22,1.88,8.0,603200.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-11,80100,4.85,1.21,1.95,8.01,641601.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2025-12,86300,5.11,1.28,2.05,8.44,728372.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-07,28300,12.89,2.32,3.35,18.56,525248.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-08,29500,13.09,2.38,3.38,18.85,556075.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-09,32100,13.13,2.4,3.49,19.02,610542.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-10,29600,13.47,2.43,3.29,19.19,568024.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-11,31100,13.29,2.42,3.52,19.23,598053.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2025-12,33200,13.59,2.5,3.64,19.73,655036.0
